match_id,season,league_code,league,date,home_team,away_team,actual_home_goals,actual_away_goals,league_avg_goals_pre,league_home_goals_pre,league_away_goals_pre,home_recent8_gf,home_recent8_ga,away_recent8_gf,away_recent8_ga,home_home8_gf,home_home8_ga,away_away8_gf,away_away8_ga,home_elo_pre,away_elo_pre,elo_diff_pre,home_rest_days,away_rest_days,home_rest_missing,away_rest_missing,market_home_prob,market_draw_prob,market_away_prob,market_over25_prob,market_under25_prob,market_missing_1x2,market_missing_ou,asian_handicap,asian_abs_depth,market_home_odds,market_draw_odds,market_away_odds,market_over25_odds,market_under25_odds,asian_home_odds,asian_away_odds,xg_base_home,xg_base_away,xg_base_total,xg_base_margin,residual_home,residual_away,lineup_missing,tracking_missing,pregame_xg_missing,source_url
2021|I1|2021-02-15|Verona|Parma,2021,I1,Italy Serie A,2021-02-15,Verona,Parma,2,1,3.0267558528428093,1.608695652173913,1.4180602006688963,1.125,1.375,0.25,2.25,1.375,1.25,1.0,2.0,1496.3938432799696,1388.4081456007666,107.98569767920299,8.0,8.0,0,0,0.42285270112708895,0.29731830547998445,0.27982899339292655,0.411764705882353,0.588235294117647,0,0,-0.25,0.25,2.25,3.2,3.4,2.3,1.61,2.07,1.86,1.3712682214710314,1.111616375376978,2.4828845968480096,0.25965184609405334,0.6287317785289686,-0.1116163753769781,1,1,1,https://www.football-data.co.uk/mmz4281/2021/I1.csv
2021|E0|2021-02-15|Chelsea|Newcastle,2021,E0,England Premier League,2021-02-15,Chelsea,Newcastle,2,0,2.721498371335505,1.4560260586319218,1.265472312703583,1.0,0.875,1.0,1.75,1.75,0.75,0.75,1.875,1579.8561392696633,1430.3443028059842,149.51183646367917,8.0,9.0,0,0,0.7367320790343247,0.1640029671589453,0.09926495380673005,0.5699481865284974,0.43005181347150256,0,0,-1.5,1.5,1.28,5.75,9.5,1.66,2.2,1.91,2.02,2.0696055800665367,0.8453552867224138,2.9149608667889506,1.2242502933441228,-0.06960558006653672,-0.8453552867224138,1,1,1,https://www.football-data.co.uk/mmz4281/2021/E0.csv
2021|SP1|2021-02-15|Cadiz|Ath Bilbao,2021,SP1,Spain La Liga,2021-02-15,Cadiz,Ath Bilbao,0,4,2.492561983471074,1.4132231404958677,1.0793388429752067,1.125,2.0,1.625,1.125,1.125,1.375,0.875,1.625,1465.7457197294216,1476.9326684420942,-11.186948712672574,8.0,8.0,0,0,0.17994376757263353,0.2952202436738519,0.5248359887535146,0.3796526054590571,0.6203473945409429,0,0,0.5,0.5,5.25,3.2,1.8,2.5,1.53,2.03,1.9,0.831486431015401,1.439763469440893,2.271249900456294,-0.608277038425492,-0.831486431015401,2.560236530559107,1,1,1,https://www.football-data.co.uk/mmz4281/2021/SP1.csv
2021|P1|2021-02-15|Sp Lisbon|Pacos Ferreira,2021,P1,Portugal Primeira Liga,2021-02-15,Sp Lisbon,Pacos Ferreira,2,0,2.451476793248945,1.3037974683544304,1.1476793248945147,1.75,0.375,1.75,0.375,2.0,0.625,1.375,0.75,1681.529994471374,1562.2516617644171,119.27833270695692,5.0,6.0,0,0,0.6500776404176282,0.2161921021250311,0.13373025745734066,0.46052631578947373,0.5394736842105263,0,0,-1.0,1.0,1.44,4.33,7.0,2.05,1.75,1.82,2.08,1.7284299204594373,0.7741126774234828,2.50254259788292,0.9543172430359546,0.27157007954056267,-0.7741126774234828,1,1,1,https://www.football-data.co.uk/mmz4281/2021/P1.csv
2021|P1|2021-02-16|Tondela|Maritimo,2021,P1,Portugal Primeira Liga,2021-02-16,Tondela,Maritimo,2,1,2.4505263157894737,1.305263157894737,1.1452631578947368,1.0,1.375,0.75,1.375,1.125,0.875,1.375,1.5,1425.7050142793196,1439.2366013596297,-13.531587080310146,7.0,7.0,0,0,0.3924050632911393,0.3037974683544304,0.3037974683544304,0.4170984455958549,0.582901554404145,0,0,-0.25,0.25,2.4,3.1,3.1,2.25,1.61,2.14,1.77,1.2746315558147716,1.0972568722704679,2.3718884280852395,0.17737468354430375,0.7253684441852284,-0.09725687227046786,1,1,1,https://www.football-data.co.uk/mmz4281/2021/P1.csv
2021|E0|2021-02-17|Burnley|Fulham,2021,E0,England Premier League,2021-02-17,Burnley,Fulham,1,1,2.7203252032520324,1.4569105691056912,1.2634146341463415,1.0,1.125,0.75,1.0,1.125,1.0,1.0,1.0,1494.0151253624638,1449.1040659484572,44.91105941400656,4.0,2.0,0,0,0.32544256895841916,0.30444627418690823,0.3701111568546728,0.398477157360406,0.6015228426395939,0,0,0.0,0.0,2.9,3.1,2.55,2.37,1.57,2.11,1.79,1.1544117630476545,1.22195066794679,2.3763624309944444,-0.0675389048991355,-0.15441176304765447,-0.22195066794678997,1,1,1,https://www.football-data.co.uk/mmz4281/2021/E0.csv
2021|SP1|2021-02-17|Levante|Ath Madrid,2021,SP1,Spain La Liga,2021-02-17,Levante,Ath Madrid,1,1,2.495049504950495,1.4108910891089108,1.0841584158415842,1.875,1.75,2.25,1.0,2.0,1.375,2.0,1.0,1493.08008150566,1706.3015334034521,-213.22145189779212,3.0,4.0,0,0,0.1891891891891892,0.27027027027027023,0.5405405405405405,0.43005181347150256,0.5699481865284974,0,0,0.75,0.75,5.0,3.5,1.75,2.2,1.66,1.75,2.05,0.8793764340835708,1.540819677326814,2.4201961114103847,-0.6614432432432431,0.1206235659164292,-0.5408196773268139,1,1,1,https://www.football-data.co.uk/mmz4281/2021/SP1.csv
2021|F1|2021-02-17|Marseille|Nice,2021,F1,France Ligue 1,2021-02-17,Marseille,Nice,3,2,2.61787072243346,1.446768060836502,1.1711026615969582,0.875,1.375,0.875,1.375,1.625,1.25,1.125,0.875,1553.4562357980767,1477.679560428112,75.77667536996478,3.0,4.0,0,0,0.3875,0.30625,0.30625,0.43005181347150256,0.5699481865284974,0,0,-0.25,0.25,2.45,3.1,3.1,2.2,1.66,2.13,1.78,1.3067333896283184,1.1404833896283186,2.447216779256637,0.1662499999999998,1.6932666103716816,0.8595166103716814,1,1,1,https://www.football-data.co.uk/mmz4281/2021/F1.csv
2021|E0|2021-02-17|Everton|Man City,2021,E0,England Premier League,2021-02-17,Everton,Man City,1,3,2.719155844155844,1.4561688311688312,1.2629870129870129,1.125,1.375,2.75,0.125,0.625,1.375,2.0,0.5,1520.4489720608074,1714.3092686157331,-193.86029655492575,3.0,4.0,0,0,0.0862533692722372,0.1725067385444744,0.7412398921832885,0.5699481865284974,0.43005181347150256,0,0,1.5,1.5,11.0,5.5,1.28,1.66,2.2,2.02,1.77,0.8318529440839578,2.0825925667254674,2.914445510809425,-1.2507396226415097,0.16814705591604218,0.9174074332745326,1,1,1,https://www.football-data.co.uk/mmz4281/2021/E0.csv
2021|P1|2021-02-17|Guimaraes|Farense,2021,P1,Portugal Primeira Liga,2021-02-17,Guimaraes,Farense,2,2,2.4516806722689077,1.3067226890756303,1.1449579831932772,1.375,1.25,1.125,1.5,1.125,1.5,0.75,1.75,1552.6404506481915,1452.602598052814,100.03785259537744,4.0,4.0,0,0,0.4909188994785111,0.2869987412335911,0.22208235928789785,0.46052631578947373,0.5394736842105263,0,0,-0.5,0.5,1.9,3.25,4.2,2.05,1.75,1.93,1.97,1.4979341500177594,1.0046533012495522,2.5025874512673116,0.4932808487682072,0.5020658499822406,0.9953466987504478,1,1,1,https://www.football-data.co.uk/mmz4281/2021/P1.csv
